"status","family","pval","qval","gene_short_name","is.feature","score","dir"
"FPR1","OK","negbinomial.size",4.88355991840326e-74,2.26886786674188e-72,"FPR1",FALSE,164.966845725607,-1
"HLA-DRB5","OK","negbinomial.size",1.57023212109623e-73,7.25302016166471e-72,"HLA-DRB5",TRUE,163.804708739425,-1
"FAU","OK","negbinomial.size",5.7130782628662e-72,2.62374760911286e-70,"FAU",FALSE,160.216352828679,-1
"IL18","OK","negbinomial.size",1.06535123875949e-71,4.86469814224403e-70,"IL18",TRUE,-159.598951842685,1
"PLD3","OK","negbinomial.size",5.95798523527473e-71,2.70512840994775e-69,"PLD3",TRUE,-157.883222034087,1
"TKT","OK","negbinomial.size",1.23121613047292e-70,5.55855824780175e-69,"TKT",TRUE,157.163032649902,-1
"RPL5","OK","negbinomial.size",2.91673162217107e-69,1.3094158647623e-67,"RPL5",FALSE,154.003620097595,-1
"CALM3","OK","negbinomial.size",4.94308002913696e-69,2.20671243088455e-67,"CALM3",TRUE,-153.481697410464,1
"AHNAK","OK","negbinomial.size",1.06030471594886e-67,4.70716388063741e-66,"AHNAK",FALSE,150.421530559428,-1
"UBA52","OK","negbinomial.size",2.20930028128296e-67,9.75387765068073e-66,"UBA52",FALSE,149.6929512239,-1
"EEF1D","OK","negbinomial.size",2.48059034165374e-67,1.08914271539313e-65,"EEF1D",FALSE,149.582640157464,-1
"SAT1","OK","negbinomial.size",4.41502198252491e-67,1.92789293236921e-65,"SAT1",FALSE,-149.01160338297,1
"GLIPR2","OK","negbinomial.size",1.07296931447515e-66,4.65983575650593e-65,"GLIPR2",TRUE,148.129050842482,-1
"CPM","OK","negbinomial.size",1.64587556210554e-66,7.10929276582993e-65,"CPM",TRUE,-147.706628276093,1
"HCLS1","OK","negbinomial.size",2.21099585800423e-66,9.4989612372644e-65,"HCLS1",FALSE,-147.416848595431,1
"PHACTR2","OK","negbinomial.size",2.44318579429438e-66,1.0440373092089e-64,"PHACTR2",TRUE,-147.322350726007,1
"FOS","OK","negbinomial.size",2.5563408914063e-66,1.08658085442701e-64,"FOS",TRUE,147.282410016345,-1
"CXCL16","OK","negbinomial.size",6.07560920048731e-66,2.56879328683038e-64,"CXCL16",FALSE,-146.422009701178,1
"RPS18","OK","negbinomial.size",6.50409430967288e-66,2.73548513834716e-64,"RPS18",FALSE,146.359137149995,-1
"RPL27","OK","negbinomial.size",9.35018902222663e-66,3.91190368987502e-64,"RPL27",FALSE,146.001421818902,-1
"ALDOA","OK","negbinomial.size",1.61260007922954e-65,6.71160793391836e-64,"ALDOA",FALSE,145.461607396866,-1
"WWP1","OK","negbinomial.size",1.74269937926583e-65,7.21549779259753e-64,"WWP1",TRUE,-145.38921476765,1
